State,Year,Organizations,Intake - Relinquished By Owner Total-Canine,Intake - Stray At Large Total-Canine,Intake - Transferred In Total-Canine,Intake - Owner Intended Euthanasia Total-Canine,Intakes - Other Intakes Total-Canine,Live Outcome - Adoption Total-Canine,Live Outcome - Returned To Owner Total-Canine,Live Outcome - Returned To Field Total-Canine,Live Outcome - Transferred Out Total-Canine,Live outcome - Other Live Outcome Total-Canine,Other Outcome - Died In Care Total-Canine,Other Outcome - Lost In Care Total-Canine,Other Outcome - Owner Intended Euthanasia Total-Canine,Other Outcome - Shelter Euthanasia Total-Canine
AK,2019,3,349,168,201,0,14,170,169,0,411,0,0,1,0,10
AK,2020,3,378,73,244,0,20,87,90,0,511,27,4,0,0,3
AK,2021,3,395,112,262,0,13,75,117,0,559,7,1,0,0,9
AK,2022,3,399,111,257,0,26,95,116,0,544,14,5,0,0,4
AL,2019,12,1960,6642,762,1,344,4096,1460,15,2132,0,149,5,0,1660
AL,2020,12,2432,5222,1334,2,731,3970,1238,16,3207,1,129,28,0,1182
AL,2021,12,1789,4627,1066,0,2466,3864,1441,0,2915,86,126,6,3,1246
AL,2022,12,1524,5321,597,0,2439,3954,1344,0,2726,0,135,12,0,1484
AR,2019,19,1480,7106,251,2,437,3575,3364,0,1755,471,62,1,4,461
AR,2020,19,1658,4099,422,15,209,2965,1477,0,1562,305,75,3,5,262
AR,2021,19,1719,4397,394,31,285,3261,1460,4,1555,266,74,1,34,294
AR,2022,19,1864,4899,373,34,379,3410,1615,8,1644,7,58,2,29,410
AZ,2019,34,21701,29611,7773,2259,3514,38927,11743,578,8210,251,554,76,2052,3034
AZ,2020,34,10770,24287,7298,1995,3554,30289,7460,0,6067,530,366,20,1962,2089
AZ,2021,34,12141,27539,6141,1055,4640,31714,8917,0,5195,580,420,23,1079,2491
AZ,2022,34,10888,28709,6019,696,4954,34116,7685,2,4020,173,395,23,634,3145
CA,2019,110,39645,109987,17850,7882,11206,88875,42096,134,28234,2083,1184,206,7708,15755
CA,2020,110,24023,67061,13900,5626,8406,57461,27328,230,20411,1290,753,150,5385,7571
CA,2021,110,25800,71353,11903,5514,8724,57845,29379,81,17255,1719,807,93,5168,7714
CA,2022,110,28831,88100,13340,4375,9621,67262,28588,82,19505,3039,916,221,4151,12348
CO,2019,39,9612,15675,8422,627,4066,20508,11764,340,2160,247,177,33,621,2510
CO,2020,39,7367,11336,8910,441,3495,17992,9224,237,1742,229,127,39,441,1821
CO,2021,39,9783,14305,7242,541,2629,18426,10549,3,1529,152,117,13,540,1875
CO,2022,39,10668,16122,5641,658,2859,17943,10754,0,1582,141,115,11,643,2699
CT,2019,11,379,284,1586,152,161,1873,189,0,237,38,16,0,155,44
CT,2020,11,232,221,1012,97,96,1292,178,0,147,37,14,0,96,21
CT,2021,11,303,229,522,165,492,988,189,0,137,45,6,0,169,34
CT,2022,11,350,304,508,213,383,1090,231,0,131,41,13,0,213,29
DE,2019,2,201,87,203,0,0,470,36,0,0,0,3,1,0,12
DE,2020,2,140,59,239,0,0,403,25,0,2,0,1,0,0,20
DE,2021,2,137,53,362,0,1,517,23,0,3,0,3,0,0,20
DE,2022,2,134,44,279,0,1,393,13,0,25,0,2,0,0,7
FL,2019,59,16545,23150,13234,4298,5246,37343,8178,9,8071,1450,380,43,3618,3273
FL,2020,59,12083,17903,11362,2858,4898,29484,6801,0,6586,1633,242,80,2415,2031
FL,2021,59,13809,19338,10541,2651,5974,30586,7612,1,6514,2562,281,30,2203,2362
FL,2022,59,13726,19531,8585,2047,5227,28858,6940,1,6062,1420,236,13,1828,2685
GA,2019,45,10793,16107,10721,192,5873,25474,5410,1,9354,15,356,35,192,3120
GA,2020,45,8479,11619,7528,189,4665,19678,4156,0,7066,68,257,30,192,1388
GA,2021,45,9502,12926,6941,161,5116,19602,4503,2,5822,1120,277,37,166,1614
GA,2022,45,8556,14161,6671,235,3753,18434,4132,0,5110,373,303,47,211,1823
HI,2019,5,3549,5862,251,96,107,4761,3062,0,639,0,42,5,79,1180
HI,2020,5,2370,4085,357,406,63,3686,1990,0,414,1,32,3,398,793
HI,2021,5,2571,4433,203,620,62,3628,2168,19,460,0,25,3,248,782
HI,2022,5,2873,5508,137,686,53,4252,2282,1,558,0,56,1,606,923
IA,2019,15,3079,3660,1340,589,1588,5801,2850,0,309,27,114,5,607,509
IA,2020,15,2502,3314,1568,569,686,5213,2474,0,140,0,47,1,564,388
IA,2021,15,3594,3592,1865,548,725,5775,2609,0,389,0,110,34,538,373
IA,2022,15,3620,3901,1712,7,1050,6094,2865,0,624,39,103,4,1,373
ID,2019,16,3658,8329,2224,426,1135,7964,5083,5,679,630,67,7,452,890
ID,2020,16,3112,6472,1745,384,866,6731,4018,4,654,462,53,8,388,538
ID,2021,16,3256,7031,1672,371,743,6817,4550,1,463,157,51,7,351,451
ID,2022,16,2895,7055,1853,275,2199,7326,4297,1,623,575,45,2,384,546
IL,2019,26,4914,3287,11461,250,753,15597,1657,0,790,45,183,8,239,1696
IL,2020,26,4066,2153,12355,211,624,14966,1281,0,826,3,138,14,213,1008
IL,2021,26,4875,2475,10743,230,799,14823,1612,0,898,220,149,1,231,938
IL,2022,26,4917,3316,11039,380,1185,14949,2118,0,797,835,141,3,256,1004
IN,2019,28,8101,14357,3812,859,3136,14624,7244,0,4576,56,231,89,707,2496
IN,2020,28,5323,10299,2558,673,2280,9626,5879,1,3327,41,145,41,536,1452
IN,2021,28,6326,11313,3099,870,2492,10991,6313,65,2880,309,217,83,757,1572
IN,2022,28,6971,11729,2768,891,2423,11378,5735,0,2465,131,276,83,744,2392
KS,2019,15,4027,5407,4198,586,122,8515,2756,0,1484,6,29,4,570,993
KS,2020,15,2678,3502,3223,473,99,6016,1685,0,1199,1,27,4,467,570
KS,2021,15,3106,3116,3334,569,1124,6870,1883,0,1042,42,47,9,558,663
KS,2022,15,2882,3716,4120,502,574,7615,1895,82,1123,87,69,7,467,671
KY,2019,21,5890,9384,4699,136,898,10382,2501,0,6048,71,223,10,96,1375
KY,2020,21,5405,7006,3117,136,1160,7695,2763,2,5348,20,104,2,108,1161
KY,2021,21,5899,7624,2872,157,1065,7716,3019,0,4549,2,159,5,133,1209
KY,2022,21,5823,8306,2722,176,1170,8452,2917,1,4139,11,178,5,102,1413
LA,2019,19,5391,9949,3025,454,5056,8701,3287,19,5735,182,298,101,323,4138
LA,2020,19,3284,7674,2990,428,3014,6417,2327,63,5004,168,245,100,304,2566
LA,2021,19,4545,11208,2256,598,1870,6624,2809,5,6349,37,244,25,574,2041
LA,2022,19,3831,11193,1390,601,1474,6195,2431,50,5007,93,183,17,511,2543
MA,2019,18,1758,657,1664,693,1472,4608,386,0,274,1,13,0,671,328
MA,2020,18,1096,632,1245,549,1167,3651,282,0,111,2,15,0,500,232
MA,2021,18,1030,473,1332,481,1044,3193,236,0,137,0,10,0,457,218
MA,2022,18,1127,455,1324,573,752,2942,258,0,132,0,4,1,536,226
MD,2019,13,2960,3915,1528,546,1542,5580,2256,0,1259,73,45,1,529,904
MD,2020,13,2377,2688,1177,441,892,3685,1732,0,1137,16,38,0,425,629
MD,2021,13,2666,2928,1071,479,1219,4170,1879,2,938,10,35,2,468,778
MD,2022,13,3200,4005,949,603,1495,5230,2197,0,988,6,47,1,556,1035
ME,2019,4,566,576,1599,31,32,2166,435,0,47,8,8,0,31,78
ME,2020,4,320,435,824,24,33,1225,382,0,19,2,7,0,24,34
ME,2021,4,367,287,827,31,190,1238,362,0,12,18,3,0,23,36
ME,2022,4,478,382,983,12,102,1477,329,0,49,8,1,0,10,54
MI,2019,32,6196,9931,7322,2624,1676,15312,4090,1,2145,64,132,59,2661,2835
MI,2020,32,4311,7106,6048,1603,1787,12324,3199,0,1988,33,103,53,1559,1647
MI,2021,32,5208,8442,6823,1716,1171,13618,3469,0,1229,16,133,18,1719,1642
MI,2022,32,5041,10475,4928,1600,1539,12839,3682,13,1461,41,110,25,1607,2325
MN,2019,24,1391,2015,2285,40,758,4318,1528,1,403,1,19,0,36,206
MN,2020,24,1442,1369,2987,30,557,4897,1019,8,303,3,33,1,28,120
MN,2021,24,1272,1379,2687,27,636,4476,1121,0,449,1,38,2,20,157
MN,2022,24,1356,1815,2633,36,605,4171,1129,0,475,75,25,4,26,206
MO,2019,23,4198,7577,1559,19,4662,9747,3473,32,1544,1916,258,21,73,1132
MO,2020,23,4742,6534,1284,20,4271,9706,2845,19,1359,2073,186,15,70,768
MO,2021,23,4726,5324,1385,14,6603,10205,3211,12,1178,2119,225,7,95,592
MO,2022,23,4754,6398,960,13,7933,10713,4078,23,1179,2521,239,7,66,992
MS,2019,9,4797,6137,3750,234,317,5127,1125,0,7605,2,149,32,256,1013
MS,2020,9,3801,5345,2839,180,366,4901,1021,0,5928,0,186,18,210,403
MS,2021,9,3565,5512,3184,117,250,4945,1035,13,5662,5,198,11,118,377
MS,2022,9,3177,4760,2492,104,198,4968,883,16,4070,2,175,9,107,546
MT,2019,10,2005,3366,1085,73,407,3839,2819,0,142,52,18,3,71,153
MT,2020,10,1574,2632,595,49,401,2671,2337,0,119,24,10,2,50,122
MT,2021,10,1657,2492,760,65,1035,2914,2486,0,146,135,19,1,50,186
MT,2022,10,1975,2884,647,60,961,3266,2439,0,173,302,13,2,56,144
NC,2019,39,12459,17351,11669,681,4235,22944,7183,1,9770,108,288,28,648,5401
NC,2020,39,8008,12528,10405,542,3654,19315,5288,1,6997,2,189,26,504,3094
NC,2021,39,9195,13799,10815,561,3065,20459,5722,6,5346,6,244,26,518,3414
NC,2022,39,9413,16091,9266,706,3077,21361,6198,66,5125,15,346,39,590,4515
ND,2019,7,582,675,187,19,350,1365,349,0,96,12,7,0,1,28
ND,2020,7,537,559,334,13,333,1366,315,0,18,0,14,0,1,14
ND,2021,7,478,553,446,4,412,1513,313,0,32,0,4,1,2,16
ND,2022,7,534,754,490,0,371,1744,334,0,18,0,21,1,0,28
NE,2019,6,1121,2159,557,0,328,2078,1718,0,19,0,9,1,0,319
NE,2020,6,939,1782,828,1,303,2124,1464,0,88,0,9,1,0,264
NE,2021,6,983,2067,531,3,288,1883,1667,0,50,0,27,3,1,213
NE,2022,6,1239,2114,428,2,347,2111,1597,0,50,1,12,0,0,334
NH,2019,11,800,667,1286,27,150,2047,627,0,111,0,20,0,29,110
NH,2020,11,418,470,1074,25,95,1505,471,0,39,18,23,1,26,67
NH,2021,11,365,370,1018,29,271,1397,464,0,43,2,3,0,34,93
NH,2022,11,473,425,781,39,199,1256,441,1,30,9,7,1,39,84
NJ,2019,21,1770,3404,6915,34,535,7096,1797,2,3324,3,63,1,26,439
NJ,2020,21,1311,2376,6712,18,561,6579,1299,0,3040,1,48,4,25,215
NJ,2021,21,1484,2712,5189,28,742,5973,1524,1,2217,0,39,8,16,264
NJ,2022,21,1373,3436,4380,13,713,5880,1824,3,1747,1,75,3,0,318
NM,2019,14,5496,8732,636,361,4929,6624,4429,3,5620,1104,305,47,275,2966
NM,2020,14,4008,7022,346,458,3220,5693,3033,0,4486,424,176,64,221,1289
NM,2021,14,3730,9927,900,365,1818,5237,3301,11,4617,239,220,42,346,1782
NM,2022,14,2931,10519,131,580,2570,5142,3131,0,3416,328,165,17,500,3107
NV,2019,12,3773,11878,1361,2161,2795,10502,5140,0,2502,30,107,12,2161,1723
NV,2020,12,1966,7584,1096,2253,1860,6496,3614,0,1504,13,71,7,2256,1055
NV,2021,12,2254,8827,938,1567,2254,5538,4053,0,1606,7,96,45,1568,1233
NV,2022,12,3038,9352,1323,933,2640,8221,3977,0,2112,0,79,93,933,2342
NY,2019,45,7325,7500,6784,2148,1356,14941,3289,32,2964,145,112,1,2103,1507
NY,2020,45,4675,5076,4862,1864,1018,10095,2470,0,2314,54,99,2,1809,792
NY,2021,45,4933,4773,5144,1129,1411,10572,2510,2,2289,28,69,6,1083,823
NY,2022,45,5593,4762,4710,1312,1513,10812,2485,0,2356,60,110,4,1232,917
OH,2019,23,3760,5216,6284,311,2256,14067,1634,0,956,122,123,23,294,748
OH,2020,23,2937,3530,5549,227,862,12259,1300,0,709,30,87,7,166,415
OH,2021,23,3142,4235,6076,185,1535,11804,1563,5,629,51,114,0,160,505
OH,2022,23,3552,4965,5600,240,1614,13100,1726,1,1059,40,174,4,198,574
OK,2019,15,1565,3672,3115,8,451,4166,670,0,3638,32,171,15,8,271
OK,2020,15,1524,2987,2407,32,315,4234,585,0,2412,26,68,25,31,191
OK,2021,15,1564,2330,2376,39,1150,4387,740,0,1869,32,79,14,40,220
OK,2022,15,1512,2152,2279,91,917,4334,1001,58,1110,22,89,12,43,274
OR,2019,22,3908,3303,5441,623,707,9451,2839,0,465,10,75,0,620,487
OR,2020,22,2600,2560,2865,520,558,5870,2224,0,328,5,41,0,507,325
OR,2021,22,2546,2482,2694,557,769,5704,2198,1,181,14,46,1,511,304
OR,2022,22,2681,3289,3607,472,738,6606,2684,1,270,2,38,2,435,387
PA,2019,18,3494,3297,5152,760,2401,11593,1917,1,433,8,111,37,750,636
PA,2020,18,3118,2610,5239,675,1418,9806,1534,0,352,19,64,5,362,512
PA,2021,18,2876,2944,4699,637,1199,9160,1680,26,243,38,79,8,325,523
PA,2022,18,3091,3588,4703,344,1045,9375,1811,0,312,27,71,3,87,699
RI,2019,7,588,695,1208,102,232,1860,667,0,185,6,2,0,106,96
RI,2020,7,531,437,1109,37,197,1629,494,0,123,6,9,1,37,82
RI,2021,7,676,443,1067,11,168,1544,434,0,210,2,11,2,13,74
RI,2022,7,741,563,963,22,199,1649,547,0,130,4,18,0,29,66
SC,2019,20,4964,14515,4678,242,1233,13857,3101,1,6649,75,193,253,136,1564
SC,2020,20,4551,11213,3431,207,995,10380,2612,2,6204,1889,163,78,144,918
SC,2021,20,5066,11462,3379,128,1135,10579,2905,3,5922,129,161,50,105,1184
SC,2022,20,5496,12944,2845,195,1563,11446,3030,0,5298,318,165,60,169,1818
SD,2019,3,264,202,109,2,7,349,23,0,183,0,2,0,1,8
SD,2020,3,326,93,60,0,13,345,10,1,159,0,4,0,0,4
SD,2021,3,439,212,135,0,38,490,13,0,262,0,1,0,0,11
SD,2022,3,520,84,101,0,103,499,19,0,224,20,1,0,0,16
TN,2019,26,8936,18646,2540,326,3946,15370,5390,137,9342,1278,376,42,337,2894
TN,2020,26,7610,12829,2051,241,3709,12135,4491,17,7496,1320,376,13,248,1630
TN,2021,26,8282,13941,1590,247,4406,11674,4867,6,7225,1103,356,14,184,1805
TN,2022,26,7315,15937,1708,219,3962,12958,4456,8,6328,923,345,10,181,2707
TX,2019,61,41250,109511,26271,3267,10448,84448,32881,7,50979,5020,2602,268,2919,14922
TX,2020,61,32000,64976,28635,2061,11085,62796,19889,16,53798,2603,1741,204,1862,5343
TX,2021,61,28005,68088,25702,2090,9995,57772,17191,11,40349,3503,1729,164,2031,7344
TX,2022,61,26429,71457,22589,2531,11469,58982,16322,59,31348,3451,2088,190,2286,13323
UT,2019,22,3250,8618,3986,2117,792,9130,6199,0,1376,321,62,3,1300,437
UT,2020,22,2732,5782,4561,1462,533,6815,4254,13,1810,219,42,2,1162,323
UT,2021,22,3405,5639,4103,1148,1405,6933,4523,0,2016,347,62,2,1105,392
UT,2022,22,3405,5872,2886,752,2100,6465,4261,0,1682,363,73,4,722,521
